Fold 311: balanced counts 0→11, 1→11
Fold 312: balanced counts 0→12, 1→12
Fold 313: balanced counts 0→13, 1→13
Fold 314: balanced counts 0→15, 1→15
Fold 315: balanced counts 0→13, 1→13
Fold 316: balanced counts 0→15, 1→15
Fold 317: balanced counts 0→12, 1→12
Fold 318: balanced counts 0→14, 1→14
Fold 319: balanced counts 0→10, 1→10
Fold 320: balanced counts 0→14, 1→14
Fold 321: balanced counts 0→15, 1→15
Fold 322: balanced counts 0→12, 1→12
Fold 323: balanced counts 0→12, 1→12
Fold 324: balanced counts 0→11, 1→11
Fold 325: balanced counts 0→12, 1→12
Fold 326: balanced counts 0→15, 1→15
Fold 327: balanced counts 0→10, 1→10
Fold 328: balanced counts 0→10, 1→10
Fold 329: balanced counts 0→13, 1→13
Fold 330: balanced counts 0→15, 1→15
Fold 331: balanced counts 0→8, 1→8
Fold 332: balanced counts 0→13, 1→13
Fold 333: balanced counts 0→13, 1→13
Fold 334: balanced counts 0→12, 1→12
Fold 335: balanced counts 0→15, 1→15
Fold 336: balanced counts 0→14, 1→14
Fold 337: balanced counts 0→13, 1→13
Fold 338: balanced counts 0→10, 1→10
Fold 339: balanced counts 0→11, 1→11
Fold 340: balanced counts 0→15, 1→15
Fold 341: balanced counts 0→13, 1→13
Fold 342: balanced counts 0→14, 1→14
Fold 343: balanced counts 0→13, 1→13
Fold 344: balanced counts 0→8, 1→8
Fold 345: balanced counts 0→11, 1→11
Fold 346: balanced counts 0→12, 1→12
Fold 347: balanced counts 0→13, 1→13
Fold 348: balanced counts 0→7, 1→7
Fold 349: balanced counts 0→13, 1→13
Fold 350: balanced counts 0→9, 1→9
Fold 351: balanced counts 0→12, 1→12
Fold 352: balanced counts 0→14, 1→14
Fold 353: balanced counts 0→13, 1→13
Fold 354: balanced counts 0→11, 1→11
Fold 355: balanced counts 0→15, 1→15
Fold 356: balanced counts 0→10, 1→10
Fold 357: balanced counts 0→12, 1→12
Fold 358: balanced counts 0→12, 1→12
Fold 359: balanced counts 0→12, 1→12
Fold 360: balanced counts 0→15, 1→15
Fold 361: balanced counts 0→13, 1→13
Fold 362: balanced counts 0→13, 1→13
Fold 363: balanced counts 0→13, 1→13
Fold 364: balanced counts 0→13, 1→13
Fold 365: balanced counts 0→11, 1→11
Fold 366: balanced counts 0→12, 1→12
Fold 367: balanced counts 0→14, 1→14
Fold 368: balanced counts 0→12, 1→12
Fold 369: balanced counts 0→13, 1→13
Fold 370: balanced counts 0→11, 1→11
Fold 371: balanced counts 0→15, 1→15
Fold 372: balanced counts 0→11, 1→11
Fold 373: balanced counts 0→11, 1→11
Fold 374: balanced counts 0→9, 1→9
Fold 375: balanced counts 0→13, 1→13
Fold 376: balanced counts 0→9, 1→9
Fold 377: balanced counts 0→13, 1→13
Fold 378: balanced counts 0→12, 1→12
Fold 379: balanced counts 0→13, 1→13
Fold 380: balanced counts 0→14, 1→14
Fold 381: balanced counts 0→15, 1→15
Fold 382: balanced counts 0→12, 1→12
Fold 383: balanced counts 0→14, 1→14
Fold 384: balanced counts 0→13, 1→13
Fold 385: balanced counts 0→10, 1→10
Fold 386: balanced counts 0→14, 1→14
Fold 387: balanced counts 0→9, 1→9
Fold 388: balanced counts 0→12, 1→12
Fold 389: balanced counts 0→13, 1→13
Fold 390: balanced counts 0→10, 1→10
Fold 391: balanced counts 0→14, 1→14
Fold 392: balanced counts 0→14, 1→14
Fold 393: balanced counts 0→12, 1→12
Fold 394: balanced counts 0→13, 1→13
Fold 395: balanced counts 0→11, 1→11
Fold 396: balanced counts 0→10, 1→10
Fold 397: balanced counts 0→15, 1→15
Fold 398: balanced counts 0→13, 1→13
Fold 399: balanced counts 0→14, 1→14
Fold 400: balanced counts 0→12, 1→12
Fold 401: balanced counts 0→13, 1→13
Fold 402: balanced counts 0→13, 1→13
Fold 403: balanced counts 0→11, 1→11
Fold 404: balanced counts 0→14, 1→14
Fold 405: balanced counts 0→12, 1→12
Fold 406: balanced counts 0→14, 1→14
Fold 407: balanced counts 0→14, 1→14
Fold 408: balanced counts 0→11, 1→11
Fold 409: balanced counts 0→11, 1→11
Fold 410: balanced counts 0→14, 1→14
Fold 411: balanced counts 0→14, 1→14
Fold 412: balanced counts 0→12, 1→12
Fold 413: balanced counts 0→14, 1→14
Fold 414: balanced counts 0→15, 1→15
Fold 415: balanced counts 0→14, 1→14
Fold 416: balanced counts 0→14, 1→14
Fold 417: balanced counts 0→14, 1→14
Fold 418: balanced counts 0→12, 1→12
Fold 419: balanced counts 0→15, 1→15
Fold 420: balanced counts 0→13, 1→13
Fold 421: balanced counts 0→15, 1→15
Fold 422: balanced counts 0→11, 1→11
Fold 423: balanced counts 0→11, 1→11
Fold 424: balanced counts 0→14, 1→14
Fold 425: balanced counts 0→9, 1→9
Fold 426: balanced counts 0→10, 1→10
Fold 427: balanced counts 0→9, 1→9
Fold 428: balanced counts 0→13, 1→13
Fold 429: balanced counts 0→15, 1→15
Fold 430: balanced counts 0→11, 1→11
Fold 431: balanced counts 0→13, 1→13
Fold 432: balanced counts 0→12, 1→12
Fold 433: balanced counts 0→13, 1→13
Fold 434: balanced counts 0→11, 1→11
Fold 435: balanced counts 0→10, 1→10
Fold 436: balanced counts 0→14, 1→14
Fold 437: balanced counts 0→9, 1→9
Fold 438: balanced counts 0→10, 1→10
Fold 439: balanced counts 0→7, 1→7
Fold 440: balanced counts 0→9, 1→9
Fold 441: balanced counts 0→13, 1→13
Fold 442: balanced counts 0→15, 1→15
Fold 443: balanced counts 0→15, 1→15
Fold 444: balanced counts 0→11, 1→11
Fold 445: balanced counts 0→9, 1→9
Fold 446: balanced counts 0→14, 1→14
Fold 447: balanced counts 0→10, 1→10
Fold 448: balanced counts 0→14, 1→14
Fold 449: balanced counts 0→13, 1→13
Fold 450: balanced counts 0→10, 1→10
Fold 451: balanced counts 0→9, 1→9
Fold 452: balanced counts 0→13, 1→13
Fold 453: balanced counts 0→14, 1→14
Fold 454: balanced counts 0→13, 1→13
Fold 455: balanced counts 0→13, 1→13
Fold 456: balanced counts 0→15, 1→15
Fold 457: balanced counts 0→13, 1→13
Fold 458: balanced counts 0→15, 1→15
Fold 459: balanced counts 0→11, 1→11
Fold 460: balanced counts 0→14, 1→14
Fold 461: balanced counts 0→12, 1→12
Fold 462: balanced counts 0→13, 1→13
Fold 463: balanced counts 0→14, 1→14
Fold 464: balanced counts 0→9, 1→9
Fold 465: balanced counts 0→11, 1→11
Fold 466: balanced counts 0→15, 1→15
Fold 467: balanced counts 0→11, 1→11
Fold 468: balanced counts 0→14, 1→14
Fold 469: balanced counts 0→15, 1→15
Fold 470: balanced counts 0→15, 1→15
Fold 471: balanced counts 0→6, 1→6
Fold 472: balanced counts 0→10, 1→10
Fold 473: balanced counts 0→12, 1→12
Fold 474: balanced counts 0→14, 1→14
Fold 475: balanced counts 0→15, 1→15
Fold 476: balanced counts 0→12, 1→12
Fold 477: balanced counts 0→15, 1→15
Fold 478: balanced counts 0→11, 1→11
Fold 479: balanced counts 0→13, 1→13
Fold 480: balanced counts 0→12, 1→12
Fold 481: balanced counts 0→11, 1→11
Fold 482: balanced counts 0→12, 1→12
Fold 483: balanced counts 0→13, 1→13
Fold 484: balanced counts 0→14, 1→14
Fold 485: balanced counts 0→14, 1→14
Fold 486: balanced counts 0→12, 1→12
Fold 487: balanced counts 0→8, 1→8
Fold 488: balanced counts 0→11, 1→11
Fold 489: balanced counts 0→14, 1→14
Fold 490: balanced counts 0→11, 1→11
Fold 491: balanced counts 0→4, 1→4
Fold 492: balanced counts 0→14, 1→14
Fold 493: balanced counts 0→14, 1→14
Fold 494: balanced counts 0→15, 1→15
Fold 495: balanced counts 0→14, 1→14
Fold 496: balanced counts 0→12, 1→12
Fold 497: balanced counts 0→12, 1→12
Fold 498: balanced counts 0→12, 1→12
Fold 499: balanced counts 0→12, 1→12
Fold 500: balanced counts 0→6, 1→6
Fold 501: balanced counts 0→11, 1→11
Fold 502: balanced counts 0→14, 1→14
Fold 503: balanced counts 0→12, 1→12
Fold 504: balanced counts 0→8, 1→8
Fold 505: balanced counts 0→13, 1→13
Fold 506: balanced counts 0→15, 1→15
Fold 507: balanced counts 0→14, 1→14
Fold 508: balanced counts 0→13, 1→13
Fold 509: balanced counts 0→12, 1→12
Fold 510: balanced counts 0→14, 1→14
Fold 511: balanced counts 0→14, 1→14
Fold 512: balanced counts 0→13, 1→13
Fold 513: balanced counts 0→9, 1→9
Fold 514: balanced counts 0→14, 1→14
Fold 515: balanced counts 0→11, 1→11
Fold 516: balanced counts 0→15, 1→15
Fold 517: balanced counts 0→11, 1→11
Fold 518: balanced counts 0→10, 1→10
Fold 519: balanced counts 0→6, 1→6
Fold 520: balanced counts 0→11, 1→11
Fold 521: balanced counts 0→14, 1→14
Fold 522: balanced counts 0→13, 1→13
Fold 523: balanced counts 0→13, 1→13
Fold 524: balanced counts 0→9, 1→9
Fold 525: balanced counts 0→12, 1→12
Fold 526: balanced counts 0→14, 1→14
Fold 527: balanced counts 0→11, 1→11
Fold 528: balanced counts 0→13, 1→13
Fold 529: balanced counts 0→15, 1→15
Fold 530: balanced counts 0→14, 1→14
Fold 531: balanced counts 0→15, 1→15
Fold 532: balanced counts 0→15, 1→15
Fold 533: balanced counts 0→11, 1→11
Fold 534: balanced counts 0→10, 1→10
Fold 535: balanced counts 0→15, 1→15
Fold 536: balanced counts 0→10, 1→10
Fold 537: balanced counts 0→14, 1→14
